nhi_id,bucket,short_name,description,typical_secrets,lifecycle,governance_maturity,sources_likely,citation_keys,npe_conformance
NHI-011,COMMON,Message broker / event-bus client,"Producer/consumer for Kafka, RabbitMQ, Pulsar, SQS/SNS, Service Bus, Pub/Sub, Event Grid","SASL/SCRAM creds; mTLS certs; IAM signed requests; shared-access signatures (SAS)",LONG-LIVED,LOW,Y,kafka-security-2024;azure-sb-sas-2024,CONFORMANT
NHI-012,COMMON,AD / LDAP service account,"On-prem and hybrid domain service accounts (svc_-prefixed) for Windows file/print, SQL Server, SharePoint, Exchange hybrid","Passwords (often static); Kerberos keys; gMSA / sMSA; msDS-KeyCredentialLink",STATIC,LOW,Y,ms-gmsa-2024;ms-spn-2024,CONFORMANT
NHI-013,COMMON,API gateway upstream identity,"Identity an API gateway (Apigee, Kong, AWS API GW, Azure APIM, F5, NGINX+) presents to upstream services","mTLS client certs; signed JWTs; HMAC keys; AWS SigV4 IAM creds",SHORT-LIVED,MEDIUM,Y,apigee-mtls-2024;aws-apigw-iam-2024,CONFORMANT
NHI-014,COMMON,RPA bot identity,"UiPath, Blue Prism, Automation Anywhere robot identity; frequently authenticated as a real AD user","AD user passwords vaulted in Orchestrator; MFA bypass tokens; browser session cookies",STATIC,LOW,Y,uipath-creds-2024;blueprism-creds-2024,CONFORMANT
NHI-015,UNCOMMON,Code-signing identity,"Identity that signs binaries, container images, packages, SBOM attestations; ephemeral (Sigstore) or hardware-backed (Authenticode, Apple Notary)","Fulcio short-lived certs; EV/OV code-signing certs in HSM; Apple Developer ID keys; GPG package-repo keys",EPHEMERAL,LOW,Y,sigstore-arch-2023;ms-authenticode-2024;apple-notary-2024,CONFORMANT
NHI-016,UNCOMMON,Build provenance / SLSA attestation identity,"Identity that signs in-toto / SLSA provenance statements proving how an artifact was built","Sigstore keyless OIDC creds; TUF root keys; in-toto layout keys",EPHEMERAL,LOW,MAYBE,slsa-spec-2024;in-toto-spec-2024,CONFORMANT
NHI-017,UNCOMMON,Service mesh control-plane identity,"Identity the mesh control plane (Istiod, Linkerd identity, Consul Connect CA) uses to mint workload SVIDs","Intermediate-CA private keys; bootstrap tokens; root-CA trust bundles",LONG-LIVED,LOW,MAYBE,istio-ca-2024;consul-connect-ca-2024,CONFORMANT
NHI-018,UNCOMMON,Confidential-computing attestation identity,"Identity rooted in a TEE (SGX/TDX, SEV-SNP, Nitro Enclaves, Azure CVMs, Confidential Space) attesting measurements before secret release","Attestation reports/quotes; ephemeral RSA keys bound to measurement; MAA / Nitro attestation documents",EPHEMERAL,LOW,MAYBE,nitro-enclaves-attestation-2024;azure-maa-2024;confidential-space-2024,CONFORMANT
NHI-019,UNCOMMON,AI agent / autonomous workflow identity,"LLM-driven agent (LangChain, AutoGen, Copilot Studio, Agentforce, custom agentic frameworks) calling tools, APIs and human-facing systems","OAuth on-behalf-of tokens; static tool API keys; retrieval-store creds; model-provider keys; vector-DB tokens",SHORT-LIVED,LOW,Y,owasp-llm-top10-2024;csa-ai-agents-2024;astrix-nhi-report-2024;nhimg-ultimate-guide-2025,CONFORMANT
NHI-020,UNCOMMON,Model artifact / registry identity,"Identity that pushes/pulls trained models from MLflow, SageMaker Model Registry, Hugging Face, Vertex Model Garden, Azure ML","Registry tokens; S3/GCS/Blob credentials; signed model artifacts",LONG-LIVED,LOW,Y,hf-tokens-2024;sagemaker-registry-2024,CONFORMANT
NHI-021,UNCOMMON,IoT / OT device identity,"Per-device identity for sensors, gateways, ATMs, POS terminals, branch printers, BMS, EV chargers; often hardware-rooted (TPM, SE)","Per-device X.509; DPS-issued certs; TPM-attested keys; symmetric PSKs (legacy)",LONG-LIVED,LOW,Y,aws-iot-x509-2024;azure-iot-dps-2024,CONFORMANT
NHI-022,UNCOMMON,Mainframe / midrange service identity,"RACF/ACF2/Top Secret userIDs for started tasks, CICS region IDs, IMS dep-region IDs, batch scheduler IDs; AS/400 profiles","RACF passphrases; IBM MFA tokens; certs in RACF keyrings; ICSF master keys",STATIC,MEDIUM,Y,ibm-racf-2024;ibm-icsf-2024,CONFORMANT
NHI-023,UNCOMMON,Database encryption key-custodian principal (TDE/CMK),"The non-human KMS/HSM custodian PRINCIPAL that controls TDE/CMK master keys for SQL Server, Oracle TDE, PG pgcrypto, AlwaysEncrypted, MongoDB CSFLE. NOTE: the master key itself is a managed SECRET, not an identity (NIST NPE / OWASP) — this row is the controlling principal, not the key","KMS CMK ARN + KMS policy; HSM partition credential; Always Encrypted CMK in Azure KV",LONG-LIVED,MEDIUM,Y,nist-sp-800-57-2020;aws-kms-tde-2024;nhimg-three-elements-2025,CREDENTIAL-NOT-IDENTITY
NHI-024,UNCOMMON,HSM/KMS operator (HUMAN-privileged — out of NHI scope),"Privileged HUMAN operators administering HSM (CloudHSM, Thales Luna, nShield, Entrust, Utimaco) or KMS control plane under M-of-N quorum. Reclassified as a HUMAN identity per NIST NPE ('not a human actor'); the non-human KMS auto-unseal principal is NHI-035. Retained as a row for FK traceability; governed via UC-N-010","PED keys; smartcards; Shamir quorum shares; CloudHSM CO/CU/AU principals",LONG-LIVED,MEDIUM,Y,thales-luna-roles-2024;aws-cloudhsm-users-2024;nhimg-three-elements-2025,HUMAN-IDENTITY
NHI-025,UNCOMMON,Private-CA operator roles (HUMAN — out of NHI scope),"Privileged HUMAN PKI roles in private CA (ADCS, EJBCA, Venafi TPP/TLSPC, Keyfactor Command, AWS Private CA, GCP CAS): RA, CA admin, auditor, enrolment agent. Reclassified HUMAN per NIST NPE; the non-human issuing-CA SIGNING identity is the true NHI (mesh CA = NHI-017). Retained for FK traceability; governed via UC-N-010","Smartcard-bound admin certs; enrolment-agent certs; CA private keys in HSM; ACME EAB keys",LONG-LIVED,MEDIUM,Y,venafi-tpp-2024;keyfactor-command-2024;nhimg-three-elements-2025,HUMAN-IDENTITY
NHI-026,UNCOMMON,Backup / DR agent identity,"NetBackup, Commvault, Veeam, Rubrik, Cohesity, Druva agent identities with cross-system read access; prime ransomware target","Privileged AD service accounts; hypervisor admin creds; immutable-storage tokens (object-lock)",STATIC,LOW,Y,cisa-ransomware-2024;veeam-perms-2024,CONFORMANT
NHI-027,UNCOMMON,BFF / on-behalf-of token holder,"Service identities that exchange user tokens for downstream-API tokens (OAuth 2.0 token exchange, OBO flow, JWT bearer grant)","Confidential-client secrets; signed JWT assertions (private_key_jwt); DPoP keys",SHORT-LIVED,LOW,Y,rfc8693-token-exchange-2020;fapi2-baseline-2024,CONFORMANT
NHI-028,UNCOMMON,Federated B2B / Open Banking client identity,"mTLS / FAPI 2.0 client identities for partner banks, fintechs and Australian Consumer Data Right (CDR) data recipients","mTLS client certs (FAPI 2.0); software-statement assertions (SSAs); DPoP keys",LONG-LIVED,MEDIUM,Y,acccdr-2024;fapi2-baseline-2024,CONFORMANT
NHI-029,UNCOMMON,Shared functional service account (human-used NHI),"A non-human service account (oracle, sapadm, weblogic, svc_batch, shared Tableau/Power BI) whose RISK is concurrent use by multiple humans AND scripts — the OWASP NHI10:2025 'Human Use of NHI' anti-pattern. Common in legacy ops and outsourced run teams","Long passwords; SSH keys on shared filesystems; RDP saved credentials",STATIC,LOW,Y,verizon-dbir-2024;cis-controls-v8-2021;nhimg-three-elements-2025,HUMAN-USE-ANTIPATTERN
NHI-030,UNCOMMON,Browser / SaaS extension and OAuth-app identity,"Third-party app installed into Google Workspace, M365, Salesforce, Slack, GitHub Apps; operating with delegated scopes on tenant data","OAuth refresh tokens (long-lived); app-installation tokens; webhook secrets; marketplace API keys",LONG-LIVED,LOW,Y,astrix-nhi-report-2024;salesforce-connected-apps-2024,CONFORMANT
NHI-031,UNCOMMON,Webhook / inbound integration identity,"Inbound caller identity asserted via HMAC-signed webhooks, mTLS or replay-protected JWTs (Stripe, GitHub, Twilio, payment gateways)","HMAC signing secrets; webhook endpoint secrets; JWKs",LONG-LIVED,LOW,Y,stripe-webhook-sigs-2024;github-webhook-sigs-2024,CONFORMANT
NHI-032,UNCOMMON,Network / infrastructure device identity,"Router, switch, firewall, load-balancer, SD-WAN edge identities used by NetOps automation and TACACS+/RADIUS principals","SSH keys; TACACS+ shared secrets; SNMPv3 creds; vendor cloud-controller tokens (Meraki, Panorama, Aruba Central)",STATIC,LOW,Y,tacacs-rfc8907-2020;cisa-network-defaults-2024,CONFORMANT
NHI-033,UNCOMMON,Print / spooler / branch-peripheral identity,"Network printer, MFP, cheque scanner, ATM peripheral, kiosk identities; historically authenticated via default credentials","SNMPv3 creds; 802.1X EAP-TLS certs; default admin creds",STATIC,LOW,Y,cisa-default-creds-2024;nist-sp-800-213-2021,CONFORMANT
NHI-034,UNCOMMON,Post-quantum / hybrid-PKI crypto-agility attribute,"NOT a distinct identity — a CROSS-CUTTING crypto-migration attribute of existing PKI identities (NHI-006, NHI-017, NHI-025) during PQC (NIST FIPS 203/204/205) and hybrid-cert rollouts: dual-signed certs, PQC-capable CAs and HSMs. Dual-signed certs are credentials, not actors. Tracked via UC-N-013","Hybrid X.509 (classical + PQC); ML-DSA private keys; composite signatures",LONG-LIVED,LOW,MAYBE,nist-pqc-fips-203-204-205-2024;asd-pqc-guidance-2024;nhimg-three-elements-2025,CROSS-CUTTING-ATTRIBUTE
NHI-035,UNCOMMON,Vault-internal / secrets-broker identity,"The vault's own identities: auto-unseal KMS principals, replication tokens, DR replication identities, agent / proxy / gateway identities","Root tokens; Shamir recovery keys; Sentinel policy admin tokens; auto-unseal KMS keys",LONG-LIVED,MEDIUM,Y,hashicorp-vault-auto-unseal-2024;cyberark-conjur-followers-2024,CONFORMANT
NHI-036,UNCOMMON,Ephemeral workload via SPIFFE / Aembit / Clutch,"Zero-trust workload identity issued just-in-time after attestation (kernel, K8s, AWS metadata); replaces static secrets","Short-lived JWTs; X.509-SVIDs; signed-attestation-bound tokens",EPHEMERAL,LOW,MAYBE,spiffe-spec-2023;aembit-arch-2024,CONFORMANT
NHI-037,UNCOMMON,Forgotten / orphaned legacy identity,"Decommissioned-app service accounts still active, expired-team credentials, test accounts in production, ex-vendor back-doors","Anything; rarely rotated",STATIC,LOW,Y,verizon-dbir-2024;csa-nhi-state-2024;nhimg-managing-nhi-risks-2025,CONFORMANT
