uc_id,category,short_title,story,acceptance_criteria,nhis_in_scope,outcome_lens,backmap_codes,priority_fi,citation_keys
UC-F-011,FUNCTIONAL,Observability-agent token hygiene,"As a platform engineer I want monitoring agents to use scoped rotatable ingest tokens so that a compromised host cannot exfiltrate beyond its own telemetry.","Tokens scoped per env and agent class; rotated >=quarterly without gaps; agent configs forbid embedded application secrets.",NHI-010,ZT-Pillar-Visibility-Analytics;ZT-Pillar-Workload,CPS234-§28b;ISM-1405;CSF-DE.CM-1;CSF-DE.CM-7,P1,datadog-agent-keys-2024;splunk-hec-token-2024;elastic-agent-tokens-2024
UC-F-012,FUNCTIONAL,Message-broker client identity hardening,"As an engineer I want Kafka/RabbitMQ/Pub-Sub/Service-Bus clients to authenticate with mTLS or IAM-signed requests so that lateral movement via the event bus is prevented.","mTLS/cloud-IAM default for in-scope brokers; SAS rotation automated; cross-tenant topic ACLs enforced.",NHI-011;NHI-001;NHI-006,E8-RestrictAdminPriv;ZT-Pillar-Network;ZT-Pillar-Workload,CPS234-§28a;ISM-1619;CSF-PR.AC-5;CSF-PR.DS-2,P1,kafka-security-2024;azure-sb-sas-2024;confluent-rbac-2024
UC-F-013,FUNCTIONAL,gMSA / Kerberos modernisation,"As an SRE I want AD service accounts migrated to gMSA/sMSA (or eliminated via federation) so that svc_-prefixed identities are not held together by static passwords.","Inventory of svc_ accounts with eligibility classification; gMSA migration path approved; rotation policy enforced where gMSA infeasible.",NHI-012;NHI-029,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§22;ISM-1795;ISM-1619;CSF-PR.AC-1;CSF-PR.AC-4,P1,ms-gmsa-2024;ms-spn-2024;cisa-default-creds-2024
UC-F-014,FUNCTIONAL,API-gateway upstream identity standardised,"As a platform engineer I want every API gateway to present a strong upstream identity (mTLS, signed JWT, SigV4) so that upstream services can mutually authenticate the gateway.","HMAC-only upstream patterns deprecated in prod; gateway cert lifecycle automated; anomalous upstream auth failures alerted.",NHI-013;NHI-006,ZT-Pillar-Network;ZT-Pillar-Workload,CPS234-§28a;ISM-1192;CSF-PR.AC-5;CSF-PR.DS-2,P2,apigee-mtls-2024;aws-apigw-iam-2024;kong-mtls-2024
UC-F-015,FUNCTIONAL,RPA bot credential brokering,"As an SRE I want RPA bots to retrieve credentials per-session from a vault with no embedded passwords so that bot identities cannot persist after offboarding.","Vault integration enabled for orchestrators; bots use functional identities distinct from humans where feasible; sessions tied to ticket/process.",NHI-014;NHI-029;NHI-012,E8-RestrictAdminPriv;E8-MultiFactorAuth;ZT-Pillar-Identity,CPS234-§28a;ISM-1619;CSF-PR.AC-1;CSF-PR.AC-7,P1,uipath-creds-2024;blueprism-creds-2024;cyberark-rpa-2024
UC-F-016,FUNCTIONAL,Keyless code- and artifact-signing,"As a DevSecOps engineer I want builds to sign artifacts with keyless / short-lived identities (Sigstore, HSM-backed Authenticode) so that signing keys cannot be stolen at rest.","Keyless signing available for >=90% artefact types; HSM-backed long-lived signing where keyless infeasible with quorum operator policy; verification enforced at admission.",NHI-015;NHI-016;NHI-024;NHI-034,E8-AppControl;ZT-Pillar-Workload;ZT-Pillar-Data,CPS234-§28a;ISM-1324;CSF-PR.DS-6;CSF-PR.IP-3,P1,sigstore-arch-2023;slsa-spec-2024;ms-authenticode-2024;nist-pqc-fips-203-204-205-2024
UC-F-017,FUNCTIONAL,TEE attestation gates secret release,"As an architect I want regulated workloads to release high-value secrets only after TEE attestation so that secrets are bound to a measured execution environment.","Attestation-gated release documented; broker supports at least one TEE flow; pilot exists for regulated workload class; policy handles revocation and stale quotes.",NHI-018;NHI-023,E8-AppControl;ZT-Pillar-Data;ZT-Pillar-Workload,CPS234-§28b;ISM-0457;CSF-PR.DS-1;CSF-PR.DS-2,P2,nitro-enclaves-attestation-2024;azure-maa-2024;confidential-space-2024
UC-F-018,FUNCTIONAL,AI-agent tool-credential brokering,"As a platform engineer I want LLM agents to obtain tool credentials via a broker with per-tool per-session scoped tokens so that prompt-injection cannot exfiltrate long-lived secrets.","Static API keys for agent tools forbidden in new patterns; OBO or workload-broker tokens used with audited scopes; tool calls logged with agent identity and prompt provenance.",NHI-019;NHI-007;NHI-020;NHI-027;NHI-036,E8-RestrictAdminPriv;ZT-Pillar-Identity;ZT-Pillar-Workload,CPS234-§22;ISM-1619;CSF-PR.AC-1;CSF-PR.AC-3,P1,owasp-llm-top10-2024;csa-ai-agents-2024;astrix-nhi-report-2024
UC-F-019,FUNCTIONAL,IoT/OT/branch-device identity enrolment,"As a platform engineer I want IoT/OT/ATM/branch devices to enrol via DPS/EST/SCEP with hardware-rooted identity so that fleet-wide PSKs are eliminated.","Per-device certs with TPM/SE binding where supported; PSK/default-credential fleets have retirement plan; device cert lifecycle automated.",NHI-021;NHI-033;NHI-025,E8-RestrictAdminPriv;ZT-Pillar-Device;ZT-Pillar-Identity,CPS234-§28a;ISM-1304;CSF-PR.AC-1;CSF-PR.AC-3,P2,aws-iot-x509-2024;azure-iot-dps-2024;nist-sp-800-213-2021
UC-F-020,FUNCTIONAL,Mainframe credential rotation pipeline,"As an SRE I want RACF/ACF2/Top-Secret/IBM-i started-task and batch credentials rotated under change-window governance so that core-banking NHIs are not effectively static.","Vault integration to mainframe; runbooks per started-task class with rollback; ICSF master-key custody includes quorum operators.",NHI-022;NHI-024;NHI-023,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§28a;ISM-1795;ISM-1619;CSF-PR.AC-1;CSF-PR.MA-2,P1,ibm-racf-2024;ibm-icsf-2024;cyberark-conjur-2024
UC-F-021,FUNCTIONAL,Backup/DR agent identity de-privileging,"As an SRE I want backup/DR agents to operate with least-privilege vaulted credentials so that ransomware operators cannot turn a backup agent into tier-0 takeover.","Backup-service AD accounts vaulted; immutable-storage tokens in HSM-backed vault; backup-tier admin actions require MFA + JIT elevation.",NHI-026;NHI-012;NHI-029,E8-RestrictAdminPriv;E8-RegularBackups;ZT-Pillar-Identity,CPS234-§28a;ISM-1707;CSF-PR.AC-4;CSF-PR.IP-4,P0,cisa-ransomware-2024;veeam-perms-2024;nist-sp-1800-25-2020
UC-F-022,FUNCTIONAL,Webhook inbound identity verification,"As an engineer I want every inbound webhook verified by HMAC/mTLS/replay-protected JWT so that spoofed callbacks cannot drive business logic.","Default middleware enforces signature verification; signing secrets rotatable without endpoint downtime; replay-window enforced.",NHI-031;NHI-013,ZT-Pillar-Network;ZT-Pillar-Data,CPS234-§28a;ISM-0421;CSF-PR.DS-2;CSF-PR.DS-6,P2,stripe-webhook-sigs-2024;github-webhook-sigs-2024;owasp-sm-cheatsheet-2024
UC-F-023,FUNCTIONAL,Network-device credential modernisation,"As a NetOps engineer I want router/switch/firewall/SD-WAN credentials rotated via vault-integrated TACACS+/RADIUS so that shared device-admin passwords and SNMP communities are eliminated.","TACACS+/RADIUS vault integration deployed across fabric; SNMPv3 + per-device creds enforced; vendor cloud-controller tokens vaulted/rotated.",NHI-032;NHI-033,E8-RestrictAdminPriv;ZT-Pillar-Network;ZT-Pillar-Device,CPS234-§28a;ISM-1795;CSF-PR.AC-3;CSF-PR.AC-5,P2,tacacs-rfc8907-2020;cisa-network-defaults-2024;cisco-tacacs-2024
UC-F-024,FUNCTIONAL,Open-Banking FAPI 2.0 partner identity,"As an architect I want CDR/Open-Banking/payments-rail partner clients authenticated by FAPI-2.0-compliant mTLS with sender-constrained tokens so that B2B integrations meet regulator expectations.","Partner mTLS client certs lifecycle-managed; private_key_jwt or DPoP used for tokens; per-partner key compromise drill annually.",NHI-028;NHI-027;NHI-025,ZT-Pillar-Identity;ZT-Pillar-Network,CPS234-§28a;ISM-1619;CSF-PR.AC-1;CSF-PR.DS-2,P1,fapi2-baseline-2024;acccdr-2024;rfc8693-token-exchange-2020
UC-F-025,FUNCTIONAL,OAuth-app marketplace governance,"As a DevSecOps engineer I want all third-party OAuth apps inventoried, risk-scored, and revocable so that shadow integrations cannot persist after vendor offboarding.","Tenant-wide OAuth-app inventory refreshed weekly; high-scope apps require approval; stale refresh tokens auto-revoked.",NHI-030;NHI-007;NHI-037,E8-RestrictAdminPriv;ZT-Pillar-Identity,CPS234-§22;ISM-1619;CSF-PR.AC-1;CSF-DE.CM-3,P1,salesforce-connected-apps-2024;astrix-nhi-report-2024;m365-oauth-apps-2024
UC-F-026,FUNCTIONAL,Vault-internal identity hardening,"As a platform engineer I want the secrets manager's own identities governed with the same rigour as customer workloads so that the vault itself is not a SPOF.","Root token sealed offline (Shamir/KMS unseal); replication tokens rotated/scoped; auto-unseal KMS keys under same controls as customer keys.",NHI-035;NHI-024;NHI-001,E8-RestrictAdminPriv;ZT-Pillar-Identity;ZT-Pillar-Data,CPS234-§22;ISM-1795;CSF-PR.AC-4;CSF-PR.MA-2,P0,hashicorp-vault-auto-unseal-2024;cyberark-conjur-followers-2024;akeyless-arch-2024
UC-F-027,FUNCTIONAL,Orphaned/dormant NHI cleanup pipeline,"As an SRE I want a recurring sweep that identifies and retires NHIs unused for >N days so that forgotten identities do not become breach vectors.","Activity-based dormancy threshold per NHI bucket; owner-attestation required for retention extension; retired identities exported to immutable evidence.",NHI-037;NHI-001;NHI-012;NHI-029,ZT-Pillar-Identity;ZT-Pillar-Visibility-Analytics,CPS234-§22;ISM-1613;CSF-PR.AC-1;CSF-DE.CM-3,P1,verizon-dbir-2024;csa-nhi-state-2024;cis-controls-v8-2021
UC-N-001,NON_FUNCTIONAL,Real-time secret-sprawl KPI dashboard,"As a product owner I need to know how many plaintext secrets remain in our repos broken down by team, NHI bucket, repo, and age with a trend line so that I can prioritise remediation investment.","Dashboard shows total findings, P0 findings, MTTR, and 30/60/90-day trend; drill-down per team and repo with NHI tagging; freshness <=24h.",NHI-008;NHI-007;NHI-005;NHI-003;NHI-010;NHI-037,ZT-Pillar-Visibility-Analytics,CPS234-§35;ISM-1405;ISM-1690;CSF-DE.CM-1;CSF-DE.AE-2,P0,gitguardian-sots-2024;nist-csf-2.0-2024;owasp-sm-cheatsheet-2024
UC-N-002,NON_FUNCTIONAL,NHI inventory and ownership attestation,"As an internal auditor I need a complete owner-attested inventory of every NHI so that orphans, sprawl, and unowned credentials can be evidenced and remediated.","Coverage >=95% of in-scope NHI buckets; annual owner re-attestation; inventory exports to GRC.",NHI-001;NHI-002;NHI-003;NHI-005;NHI-007;NHI-008;NHI-012;NHI-014;NHI-019;NHI-022;NHI-026;NHI-030;NHI-037,ZT-Pillar-Identity;ZT-Pillar-Visibility-Analytics,CPS234-§15;CPS234-§22;ISM-1619;CSF-ID.AM-1;CSF-ID.AM-3,P0,csa-nhi-taxonomy-2024;gartner-mim-2023;verizon-dbir-2024
UC-N-003,NON_FUNCTIONAL,Rotation coverage and freshness KPIs,"As a product owner I need monthly KPIs on rotation coverage, rotation freshness, and rotation-failure backlog by NHI bucket so that I can demonstrate control effectiveness.","KPIs split by NHI bucket and data classification; failure burn-down at executive forum; targets agreed annually with CISO/audit.",NHI-005;NHI-006;NHI-010;NHI-011;NHI-012;NHI-022;NHI-024;NHI-025,ZT-Pillar-Visibility-Analytics;ZT-Pillar-Identity,CPS234-§28c;ISM-1795;CSF-PR.MA-1;CSF-DE.CM-1,P0,owasp-sm-cheatsheet-2024;nist-sp-800-57-2020
UC-N-004,NON_FUNCTIONAL,Regulator audit evidence pack,"As an internal auditor I need a one-click APRA CPS 234 evidence pack for any in-scope NHI bucket so that regulator interactions are repeatable and timely.","Pack assembles from control library and raw artefacts; signed and timestamped; generation completes in <1 business day.",NHI-005;NHI-008;NHI-009;NHI-022;NHI-028;NHI-035,ZT-Pillar-Visibility-Analytics;ZT-Pillar-Governance,CPS234-§22;CPS234-§33;CPS234-§35;ISM-0043;CSF-ID.GV-3,P1,apra-cps-234-2019;apra-cpg-234-2019;nist-csf-2.0-2024
UC-N-005,NON_FUNCTIONAL,E8 / ZT control-area scorecard,"As an architect I need a quarterly scorecard mapping the secrets programme to Essential 8 maturity levels and SP 800-207 ZT pillars so that the primary FI lens is auditable.","Scorecard published quarterly to Risk Committee; annual independent maturity review; gaps tracked with owner and due date.",NHI-001;NHI-002;NHI-006;NHI-012;NHI-019;NHI-034,E8-Maturity-Levels-1-2-3;ZT-All-Pillars,ISM-0039;ISM-1405;CSF-ID.GV-1;CSF-ID.GV-3,P1,acsc-e8-2023;nist-sp-800-207-2020;nist-csf-2.0-2024
UC-N-006,NON_FUNCTIONAL,Vendor / SaaS supply-chain risk attestation,"As a vendor-risk manager I need every SaaS or OAuth-app integration risk-scored on data scope, residency, secret-handling, and incident-disclosure SLAs so that supply-chain risk is governed to in-house standard.","Risk-scoring rubric published; Tier-1 vendor attestations annual; high-risk integrations reviewed at CAB.",NHI-007;NHI-030;NHI-031;NHI-028;NHI-026;NHI-004,ZT-Pillar-Identity;ZT-Pillar-Governance,CPS234-§14;ISM-1452;CSF-ID.SC-2;CSF-ID.SC-3,P1,apra-cps-230-2023;astrix-nhi-report-2024;nist-sp-800-161r1-2024
UC-N-007,NON_FUNCTIONAL,Data-sovereignty and residency assurance,"As a vendor-risk manager I need explicit data-flow evidence for every vault/KMS/HSM/SaaS secrets product so that APRA-regulated data does not transit non-approved jurisdictions.","Data-flow diagrams maintained per vendor; in-AU residency selected where required; cross-border processing logged for CPS 230 BCM.",NHI-035;NHI-023;NHI-024;NHI-018,ZT-Pillar-Data;ZT-Pillar-Governance,CPS230-§39;CPS234-§22;ISM-1570;CSF-ID.GV-3;CSF-PR.DS-5,P1,apra-cps-230-2023;apra-cps-234-2019;oaic-app-2024
UC-N-008,NON_FUNCTIONAL,Engineer training and secure-coding adoption KPI,"As a product owner I need every engineer who ships code to complete secrets-management secure-coding training in the last 12 months so that culture-level controls are evidenced.","Completion >=98% of active engineers; content refreshed annually against OWASP and DBIR findings; champions network active per BU.",NHI-008;NHI-003;NHI-005;NHI-019,ZT-Pillar-Governance,CPS234-§17;ISM-0252;CSF-PR.AT-1;CSF-PR.AT-2,P2,owasp-sm-cheatsheet-2024;verizon-dbir-2024;acsc-strategies-2023
UC-N-009,NON_FUNCTIONAL,Exception register and risk-acceptance governance,"As an internal auditor I need every deviation from the secrets standard registered with owner, expiry, and compensating-control evidence so that risk acceptance is intentional and time-bound.","Exceptions captured in GRC with default expiry <=12 months; expired exceptions auto-escalate; quarterly trend reporting.",NHI-012;NHI-014;NHI-022;NHI-029;NHI-033;NHI-037,ZT-Pillar-Governance,CPS234-§15;CPS234-§22;ISM-0027;CSF-ID.GV-4;CSF-ID.RA-6,P1,apra-cps-234-2019;nist-sp-800-37r2-2018;cis-controls-v8-2021
UC-N-010,NON_FUNCTIONAL,Break-glass and quorum-operator governance,"As an internal auditor I need every break-glass identity and HSM/CA/KMS quorum-operator role inventoried, monitored, and drilled so that high-privilege standing access is detectable and testable.","Quarterly inventory review; SOC same-day review of any break-glass use; quorum drills semi-annually.",NHI-024;NHI-025;NHI-035;NHI-022;NHI-026;NHI-017,E8-RestrictAdminPriv;ZT-Pillar-Identity;ZT-Pillar-Governance,CPS234-§22;ISM-1611;ISM-1795;CSF-PR.AC-4;CSF-PR.IP-9,P1,thales-luna-roles-2024;aws-cloudhsm-users-2024;csa-nhi-state-2024
UC-N-011,NON_FUNCTIONAL,Post-incident reporting and identity-driven RCA,"As an incident responder I need every secrets/identity-related incident captured with NHI attribution, MITRE T1552 sub-technique, and lessons-learned so that programme investment is data-driven.","Incident schema includes NHI bucket and ATT&CK technique; RCA template includes contributing control-gap; findings flow into roadmap.",NHI-001;NHI-003;NHI-007;NHI-008;NHI-019;NHI-026;NHI-037,ZT-Pillar-Visibility-Analytics;ZT-Pillar-Governance,CPS234-§34;CPS234-§35;ISM-1405;CSF-RS.AN-1;CSF-RS.IM-1,P0,mitre-t1552-2024;verizon-dbir-2024;cisa-ransomware-2024
UC-N-012,NON_FUNCTIONAL,Supply-chain / SLSA provenance reporting,"As an architect I need quarterly reports on signed-artifact coverage (SLSA level, signed-image %, in-toto attestations) so that supply-chain controls evidence improving posture.","SLSA-level tracked per artefact class; unsigned-artefact admission requires exception; provenance verifiers in production CD.",NHI-015;NHI-016;NHI-020;NHI-035,ZT-Pillar-Data;ZT-Pillar-Workload;ZT-Pillar-Governance,CPS234-§28a;CPS234-§35;ISM-1324;CSF-PR.DS-6;CSF-PR.IP-3,P1,slsa-spec-2024;in-toto-spec-2024;nist-sp-800-204d-2024
UC-N-013,NON_FUNCTIONAL,Crypto-agility and PQC readiness scorecard,"As an architect I need a crypto-inventory and PQC-migration readiness scorecard so that 2030-deadline obligations are visible to the board.","Inventory covers vaults/CAs/HSMs/mTLS/code-signing; PQC roadmap with milestones; hybrid-cert pilot before 2027.",NHI-034;NHI-023;NHI-024;NHI-025;NHI-006;NHI-021;NHI-028,ZT-Pillar-Data;ZT-Pillar-Governance,CPS234-§22;CPS234-§28b;ISM-0507;CSF-PR.DS-1;CSF-PR.IP-3,P1,nist-pqc-fips-203-204-205-2024;asd-pqc-guidance-2024;nist-sp-1800-38-2024
UC-N-014,NON_FUNCTIONAL,Vendor evaluation matrix maintenance,"As a product owner I need the 12-vendor evaluation matrix refreshed each release cycle with capability deltas highlighted so that vendor choice remains defensible.","Matrix re-populated against canonical UC catalog per release; capability deltas flagged per vendor; independent reviewer signs off.",NHI-001;NHI-002;NHI-005;NHI-006;NHI-015;NHI-019;NHI-022;NHI-026;NHI-034;NHI-035,ZT-Pillar-Governance,CPS234-§14;ISM-1452;CSF-ID.SC-1;CSF-ID.SC-3,P1,gartner-mim-2023;csa-nhi-taxonomy-2024;forrester-secrets-2023
UC-N-015,NON_FUNCTIONAL,Stakeholder communications cadence,"As a product owner I need a cadence of stakeholder communications on the secrets programme so that delivery, risk, and value are understood across audiences.","Communications calendar approved (monthly engineering, quarterly board minimum); each release accompanied by impact briefing; feedback captured into backlog.",NHI-008;NHI-019;NHI-030;NHI-037,ZT-Pillar-Governance,CPS234-§17;ISM-0252;CSF-PR.AT-3;CSF-PR.AT-4,P2,acsc-strategies-2023;nist-csf-2.0-2024;verizon-dbir-2024
UC-N-016,NON_FUNCTIONAL,IoT/OT/branch fleet posture reporting,"As an internal auditor I need monthly fleet-posture reports on IoT/OT/ATM/branch-peripheral identities so that default-credential and PSK exposure is visible and burning down.","Inventory by device class with credential type; default-credential and PSK fleets tracked with retirement plan; deltas reported at Operational Risk Committee.",NHI-021;NHI-033;NHI-032,ZT-Pillar-Device;ZT-Pillar-Visibility-Analytics,CPS234-§22;ISM-1304;CSF-PR.AC-3;CSF-ID.AM-1,P2,nist-sp-800-213-2021;cisa-default-creds-2024;cisa-network-defaults-2024
UC-N-017,NON_FUNCTIONAL,Observability secret-leak governance,"As an internal auditor I need evidence that logs and telemetry pipelines do not propagate secrets onward to Datadog/Splunk/Elastic so that observability is not itself a leak channel.","Log-scrubbing rules enforced at agent and ingest; periodic sampled audit of indexed telemetry; findings flow into UC-N-001 dashboard.",NHI-010;NHI-011;NHI-013,ZT-Pillar-Visibility-Analytics;ZT-Pillar-Data,CPS234-§28b;ISM-1405;CSF-DE.CM-1;CSF-PR.DS-5,P1,datadog-agent-keys-2024;splunk-hec-token-2024;owasp-sm-cheatsheet-2024
UC-N-018,NON_FUNCTIONAL,TEE attestation assurance reporting,"As an auditor I need attestation evidence for any workload claiming TEE-bound secret release so that the strongest-trust pattern is verifiable rather than declarative.","Attestation logs retained per data-class policy; verifier policy review periodic; failed-attestation incidents reported.",NHI-018;NHI-023,ZT-Pillar-Workload;ZT-Pillar-Data,CPS234-§28b;ISM-0457;CSF-PR.DS-1;CSF-PR.DS-2,P2,nitro-enclaves-attestation-2024;azure-maa-2024;confidential-space-2024
UC-N-019,NON_FUNCTIONAL,AI-agent KPI suite,"As a product owner I need KPIs specific to AI-agent NHIs (tools per session, scope inflation, refusal/escalation rates, prompt-injection-induced credential calls) so that governance scales with agent adoption.","AI-agent NHI inventory maintained alongside UC-N-002; per-tool credential issuance reported weekly; anomalous patterns alert SOC.",NHI-019;NHI-020;NHI-027;NHI-036,ZT-Pillar-Identity;ZT-Pillar-Visibility-Analytics,CPS234-§22;CPS234-§35;ISM-1619;CSF-DE.CM-3;CSF-DE.AE-2,P1,owasp-llm-top10-2024;csa-ai-agents-2024;astrix-nhi-report-2024
UC-N-020,NON_FUNCTIONAL,Mainframe/legacy posture transparency,"As an internal auditor I need mainframe/midrange/RPA posture reported alongside cloud so that the legacy long-tail is visible and exception-register pressure is data-driven.","Mainframe + RPA rotation/coverage shown on the same dashboard as cloud (UC-N-001/003); aging exceptions on legacy NHIs auto-escalate; modernisation roadmap published.",NHI-022;NHI-014;NHI-029;NHI-026;NHI-032,ZT-Pillar-Identity;ZT-Pillar-Visibility-Analytics,CPS234-§22;ISM-1795;CSF-ID.AM-1;CSF-PR.MA-2,P1,ibm-racf-2024;uipath-creds-2024;csa-nhi-state-2024
