ev_id,requirement,dimension,tier,example_artifact,sensitivity_tag,citation_keys
EV-IGA-REQUEST-APPROVAL-TRAIL,"A request/approval audit trail: per-request record of requester, item, approver(s), decision, timestamp and business justification, queryable per user, per entitlement and per time window, with out-of-band grants logged as exceptions.",coverage,primary,"e.g., a request/approval audit-trail export with the enforced approval-path configuration",[INTERNAL],nist-sp-800-53-ac3;nist-sp-800-53-ac6-1
EV-IGA-RIGHTSIZING-REPORT,"An entitlement right-sizing report flagging excess/unused/unexplained/over-broad entitlements with disposition (revoke/downscope/JIT/accept), plus a reduction trend across cycles demonstrating a program not a one-off purge.",depth,primary,"e.g., a periodic right-sizing report with a standing-/excess-entitlement reduction trend",[INTERNAL],nist-sp-800-53-ac6;nist-sp-800-53-ac6-5
EV-IGA-AGENTIC-OAUTH-ATTESTATION,"A governance attestation for emerging non-human governed objects: an inventory of agentic-AI agents and OAuth app registrations / consent grants with named owners, scoped least-privilege entitlements, high-risk-scope flags and a continuous (not point-in-time) attestation/revocation record.",cadence,follow-up,"e.g., an agent / OAuth consent-grant inventory with owner attribution and continuous-attestation evidence",[INTERNAL],owasp-llm06-2025;ms-midnight-blizzard-2024
EV-IGA-EXPIRY-REGRANT-LOG,"An expiry / re-grant log: time-bound grants with their expiry, automatic removal at lapse with timestamp and SLA attainment, and re-request decisions recorded with approver, timestamp and justification, distinguishable from first grants and showing no silent auto-renewal.",enforcement,primary,"e.g., a request-workflow export of expired-and-removed grants plus the renewal-decision audit trail",[INTERNAL],nist-sp-800-53-ac2-3;asd-ism-1647
EV-IGA-TIMEBOUND-COVERAGE,"A time-bound coverage metric: the share of high-risk / SoD-relevant / contractor entitlements carrying a defined expiry versus perpetual grants, trended across cycles, with the migration backlog of standing access flagged by certification.",coverage,follow-up,"e.g., a periodic expiry-coverage dashboard with the perpetual-grant burn-down trend",[INTERNAL],nist-sp-800-53-ac2j;apra-cps-234-para21
EV-IGA-SELF-APPROVAL-AUDIT,"The workflow configuration showing the requester-not-equal-approver rule (including delegation and out-of-office routing) plus a periodic self-approval audit report across all grants evidencing zero unremediated self-approvals, retained per evidence policy.",enforcement,primary,"e.g., the approval-policy configuration export plus the latest self-approval audit report",[INTERNAL],nist-sp-800-53-ac5;sox-icfr-13a15f
EV-IGA-ADMIN-SELF-EDIT-ALERT,"Evidence that out-of-band entitlement edits — including an administrator changing their own access in an application console — are detected and alerted within a defined SLA, with a sample alert and its recorded disposition (revert, justify or escalate).",exception,follow-up,"e.g., a detection rule for out-of-band self-edits plus a sample alert and disposition record",[INTERNAL],nist-sp-800-53-ac5;apra-cps-234-para14
EV-IGA-DATA-REPO-REGISTER,"An unstructured-data repository register: per repository the named business owner, data classification, effective-access resolution (including nested groups and sharing links) and last owner certification date, with a coverage metric of registered versus discovered repositories.",coverage,primary,"e.g., a repository inventory export with owner, classification and certification-status columns plus the coverage trend",[INTERNAL],nist-sp-800-53-ac3;apra-cpg-234-least-privilege
EV-IGA-DATA-OPEN-ACCESS-SCAN,"An open-access scan report over the unstructured-data estate detecting Everyone-type groups, anyone-with-link sharing and public buckets, with per-finding disposition (removed or accepted via a recorded time-bound exception with owner) traceable across scan cycles.",exception,follow-up,"e.g., a periodic open-access scan output with remediation / exception dispositions",[INTERNAL],nist-sp-800-53-ac6;apra-cpg-234-least-privilege
EV-IGA-AGENT-REGISTRY,Inventory of autonomous agents with owner+purpose+tool-scope,coverage,primary,Agent registry export,PUBLIC,owasp-llm06-2025
EV-IGA-AGENT-CERT-LOG,Agent entitlement recertification + drift-attestation log,governance,follow-up,Certification campaign + drift report,PUBLIC,owasp-llm06-2025
EV-IGA-ORPHAN-AGENT-SCAN,Orphan/owner-less agent detection + revocation report,exception,follow-up,Orphan-agent scan output,PUBLIC,owasp-llm06-2025
