nhi_id,bucket,short_name,description,typical_secrets,lifecycle,governance_maturity,sources_likely,citation_keys,npe_conformance,spine_id
PID-011,COMMON,CI/CD privileged pipeline,"Build/deploy pipeline identity holding deploy credentials and able to push to production; high blast-radius supply-chain target","Pipeline secrets; deploy keys; cloud deploy roles; OIDC tokens; PATs",EPHEMERAL,LOW,Y,gartner-pam-mq-2024;delinea-pam-2024;owasp-sm-cheatsheet-2024,CONFORMANT,SPN-014
PID-012,COMMON,Windows gMSA / Kerberos service account,"Group Managed Service Account or SPN-bound Kerberos service account for Windows services; Kerberoasting and delegation-abuse target","gMSA auto-managed passwords; Kerberos keytabs/SPNs; msDS-ManagedPassword",LONG-LIVED,MEDIUM,Y,ms-pth-mitigation-2014;cyberark-pam-2025;nist-sp-800-53-ac2,CONFORMANT,SPN-009
PID-013,COMMON,Break-glass / emergency account,"Highly privileged emergency-access account (cloud-only Global Admin, root recovery) reserved for outages and incident response; excluded from conditional access","Sealed long passwords; offline credential envelopes; recovery keys; FIDO2 keys",STATIC,MEDIUM,Y,gsa-privileged-identity-playbook-2024;nist-sp-800-207-2020;beyondtrust-pam-2024,HUMAN-IDENTITY,SPN-003
PID-014,COMMON,Privileged business user,"Business user with privileged entitlements in line-of-business systems (payments approver, GL/journal poster, treasury operator, core-banking admin) — privileged by function, not IT role","Application passwords; MFA tokens; signing credentials",STATIC,LOW,Y,nist-sp-800-53-ac6;gartner-pam-mq-2024;kuppingercole-pam-lc-2024,HUMAN-IDENTITY,SPN-002
PID-015,COMMON,Third-party / vendor remote-access account,"External vendor, MSP or contractor identity granted privileged remote access for support and maintenance; major supply-chain and standing-access risk","VPN/remote-session credentials; vendor PAM credentials; shared support passwords",LONG-LIVED,LOW,Y,cisa-credential-control-2018;verizon-dbir-2024;beyondtrust-pam-2024,HUMAN-IDENTITY,SPN-004
PID-016,UNCOMMON,Secrets vault / PAM operator,"Privileged operator of the secrets-management or PAM platform itself (Vault admin, CyberArk Vault/PVWA admin, safe owner); compromise yields the keys to the kingdom","Vault root/admin tokens; recovery (Shamir) shares; safe-owner credentials; master keys",LONG-LIVED,MEDIUM,Y,cyberark-pam-2025;gartner-pam-mq-2024;gsa-privileged-identity-playbook-2024,HUMAN-IDENTITY,SPN-001
PID-017,UNCOMMON,Backup / DR privileged agent,"Backup and disaster-recovery service identity (NetBackup, Commvault, Veeam, Rubrik, Cohesity) with cross-system read and restore rights; prime ransomware target","Privileged AD service accounts; hypervisor admin creds; immutable-storage/object-lock tokens",STATIC,LOW,Y,cisa-credential-control-2018;verizon-dbir-2024;delinea-pam-2024,CONFORMANT,SPN-014
PID-018,UNCOMMON,Mainframe privileged ID,"z/OS RACF/ACF2/Top Secret special/operations IDs, started-task and CICS region IDs, AS/400 *SECOFR profiles with system-wide authority","RACF passphrases; IBM MFA tokens; certs in RACF keyrings; SPECIAL/OPERATIONS attributes",STATIC,MEDIUM,Y,nist-sp-800-53-ac6;ibm-racf-2024;gsa-privileged-identity-playbook-2024,HUMAN-IDENTITY,SPN-001
PID-019,UNCOMMON,Cloud workload privileged role (CIEM),"Over-permissioned non-human cloud workload role/principal (EC2 instance profile, Lambda exec role, GKE workload identity) flagged by CIEM as holding privileged or unused entitlements","Instance-profile STS tokens; managed-identity tokens; workload-identity-federation tokens",SHORT-LIVED,MEDIUM,Y,gartner-pam-mq-2024;nist-sp-800-207-2020;delinea-pam-2024,CONFORMANT,SPN-014
PID-020,UNCOMMON,Secretless / attested privileged workload,"Workload granted just-in-time privileged access after attestation, with no stored standing secret (SPIFFE/SPIRE-attested, broker-issued); the zero-standing-privilege target state for machine access","Short-lived attested tokens; X.509-SVIDs; broker-issued ephemeral credentials",EPHEMERAL,LOW,MAYBE,nist-sp-800-207-2020;delinea-pam-2024;cyberark-pam-2025,CONFORMANT,SPN-014
PID-021,UNCOMMON,Autonomous / agentic privileged operator,"An LLM-driven or agent-delegated identity that performs privileged actions on behalf of a human owner — requesting just-in-time elevation, opening brokered privileged sessions, and running privileged tools. The agentic analogue of a privileged operator; in the good state it holds no standing privileged credential and acts only through the broker.","Brokered short-lived privileged-session tokens; OAuth on-behalf-of tokens; JIT-issued ephemeral credentials (no standing privileged secret)",SHORT-LIVED,LOW,Y,owasp-llm06-2025;csa-ai-agents-2024,CONFORMANT,SPN-015
