framework_slug,framework_role,control_code,control_short_title,uc_ids,nhi_ids,maturity_level,evidence_url,evidence_quote,citation_keys,evidence_item_ids,quote_type
apra-cps-234,BACK-MAP,CPS234-§21,Implementation of information-security controls (umbrella),UC-P-001;UC-P-002;UC-P-003;UC-P-004;UC-P-005;UC-P-006;UC-P-007;UC-P-008;UC-P-009;UC-P-010;UC-P-011;UC-P-012;UC-P-013;UC-P-014;UC-P-015;UC-P-016;UC-P-017;UC-P-018;UC-P-019;UC-P-020;UC-P-021,PID-001;PID-002;PID-003;PID-004;PID-005;PID-006;PID-008;PID-009;PID-012;PID-016;PID-015;PID-018;PID-014;PID-007;PID-010;PID-019;PID-011;PID-013;PID-017;PID-020;PID-021,Paragraph-21,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Information security controls to protect its information assets ... implemented in a timely manner.,apra-cps-234-2019,,verbatim-elided
apra-cps-234,BACK-MAP,CPS234-§21(a),Controls commensurate with vulnerabilities and threats,UC-P-004,PID-001;PID-003;PID-007;PID-010;PID-014;PID-019,Paragraph-21a,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Commensurate with: (a) vulnerabilities and threats to the information assets.,apra-cps-234-2019,,verbatim
apra-cps-234,BACK-MAP,CPS234-§21(b),Controls commensurate with criticality and sensitivity,UC-P-001,PID-001;PID-002;PID-003;PID-004;PID-005;PID-006;PID-008;PID-009;PID-012;PID-016,Paragraph-21b,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Commensurate with: (b) the criticality and sensitivity of the information assets.,apra-cps-234-2019,EV-PAM-VAULT-ROTATION-POLICY;EV-PAM-NO-PLAINTEXT-SECRETS,verbatim
apra-cps-234,BACK-MAP,CPS234-§22,Evaluate design of third-party controls,UC-P-011,PID-008;PID-009;PID-015;PID-017,Paragraph-22,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Evaluate the design of that party's information security controls that protects the information assets of the APRA-regulated entity.,apra-cps-234-2019,,verbatim
apra-cps-234,BACK-MAP,CPS234-§26,Annual review and test of response plans,UC-P-011,PID-008;PID-009;PID-015;PID-017,Paragraph-26,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Annually review and test its information security response plans to ensure they remain effective and fit-for-purpose.,apra-cps-234-2019,,verbatim
apra-cps-234,BACK-MAP,CPS234-§27,Systematic testing of control effectiveness,UC-P-011,PID-008;PID-009;PID-015;PID-017,Paragraph-27,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,Test the effectiveness of its information security controls through a systematic testing program.,apra-cps-234-2019,,verbatim
apra-cps-230,BACK-MAP,CPS230-§15,Service-provider prudential dependency gate,UC-P-017,PID-013;PID-016;PID-017,Paragraph-15,https://www.apra.gov.au/sites/default/files/2023-07/Prudential%20Standard%20CPS%20230%20Operational%20Risk%20Management.pdf,Must not rely on a service provider unless it can ensure that ... it can continue to meet its prudential obligations in full.,apra-cps-230-2025,,verbatim-elided
apra-cps-230,BACK-MAP,CPS230-§42,24-hour BCP-breach notification (vault/PKI outage),UC-P-017,PID-013;PID-016;PID-017,Paragraph-42,https://www.apra.gov.au/sites/default/files/2023-07/Prudential%20Standard%20CPS%20230%20Operational%20Risk%20Management.pdf,"Notify APRA ... not later than 24 hours after, if it has suffered a disruption to a critical operation outside tolerance.",apra-cps-230-2025,,verbatim-elided
mitre-attack,THREAT-CONTEXT,T1078,Valid Accounts,UC-P-015;UC-P-016;UC-P-018;UC-P-019;UC-P-020;UC-P-021,PID-001;PID-016;PID-021,N/A,https://attack.mitre.org/techniques/T1078/,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.",mitre-t1078-valid-accounts,,verbatim
mitre-attack,THREAT-CONTEXT,T1098,Account Manipulation,UC-P-019;UC-P-020;UC-P-021,PID-021,N/A,https://attack.mitre.org/techniques/T1098/,Adversaries may manipulate accounts to maintain and/or elevate access to victim systems.,mitre-t1098-account-manipulation,,verbatim
owasp-llm,THREAT-CONTEXT,LLM06:2025,Excessive Agency,UC-P-019;UC-P-020;UC-P-021,PID-021,N/A,https://genai.owasp.org/llmrisk/llm062025-excessive-agency/,"Excessive Agency is the vulnerability that enables damaging actions to be performed in response to unexpected, ambiguous or manipulated outputs from an LLM",owasp-llm06-2025,EV-PAM-AGENT-SESSION-LOG;EV-PAM-AGENT-JIT-GRANT;EV-PAM-AGENT-ANOMALY-ALERT,verbatim
