uc_id,current_state,confidence,evidence_q_ids,evidence_redacted,gap_notes,sensitivity_tag,citation_keys
UC-N-003,PENDING,LOW,,Vendor-risk KPI for secrets-management platforms not formalised,Build vendor-risk register covering Vault Ent + CyberArk PAM + Fortanix DSM + cloud-native vaults,[INTERNAL],
UC-N-004,PENDING,LOW,Q-A.04;Q-B.03,Audit-defence posture against APRA + ASD ISM + E8 maps to PRD §14 Appendix A; current XYZ maturity assessment not captured,Conduct E8 maturity ML1→ML2→ML3 self-assessment for secrets-management capability,[INTERNAL],apra-cps-234-2019
UC-N-005,GAP,HIGH,Q-C.00,Orphan/unused secrets inventory absent,Quarterly orphan sweep + deprovisioning SLA with NHI-discovery tooling,[INTERNAL],
UC-N-006,PARTIAL,MEDIUM,Q-G.01,Vault Enterprise licensing model has churned 2-3 times in 6 years; latest model licenses non-prod alongside prod — material commercial concern; CyberArk PAM entrenched,Formalise vendor-risk review covering licensing model + roadmap continuity for each platform,[INTERNAL],
UC-N-007,PENDING,LOW,Q-C.04,Adoption metric for secrets platform across teams not measured; visibility gap admitted,Define adoption KPI (% teams using Vault best practices) and report monthly,[INTERNAL],
UC-N-008,GAP,HIGH,Q-C.00,Secret-usage analytics not measured (which workload uses which secret),Adopt usage analytics (vault telemetry + NHI-discovery integration); start with top-100 critical secrets,[INTERNAL],
UC-N-009,PARTIAL,MEDIUM,Q-I.03,Privileged-access lifecycle owned by CyberArk PAM; lifecycle KPI maturity not confirmed,Confirm PAM lifecycle KPIs with platform owners,[INTERNAL],
UC-N-010,PARTIAL,MEDIUM,Q-D.04;Q-D.05,Break-glass + quorum governance implied by HSM-sealed Vault with DR replication but runbook formality not confirmed,Document break-glass procedure with quorum approval and exercise quarterly,[INTERNAL],
UC-N-011,PENDING,LOW,,Exception management for vault patterns not addressed in Task 0,Define exception workflow tied to risk register with mandatory remediation date,[INTERNAL],
UC-N-012,PENDING,LOW,Q-K,Supply-chain assurance / SLSA / Sigstore not in operational use,Pilot Sigstore code-signing for build artifacts; tie to NHI-015 / UC-F-018,[INTERNAL],
UC-N-013,PARTIAL,MEDIUM,Q-D.04,PQC readiness signalled by Fortanix migration but XYZ-specific PQC roadmap and timeline not captured,Initiate PQC crypto inventory + define migration cohort aligned to FI 27 timeline,[INTERNAL],asd-pqc-guidance-2024
UC-N-014,PENDING,LOW,,Training and comms KPI for secrets-management practices not addressed,Stand up secrets-management training KPI tied to engineer onboarding and quarterly refresh,[INTERNAL],
UC-N-015,PENDING,LOW,,Post-incident learnings process for secrets-management incidents not addressed in Task 0 (incidents withheld per §Q-H),Define post-incident review template covering secrets-management vector,[INTERNAL],
UC-N-016,PENDING,LOW,Q-D.05,Centralised audit log status — Vault has audit but cross-platform tamper-resistant aggregation not confirmed,Confirm SIEM ingestion + WORM retention for Vault + PAM + cloud-native vaults,[INTERNAL],
UC-N-017,PENDING,LOW,Q-A.04,Continuous controls monitoring posture for secrets-management not addressed,Build CCM dashboard covering UC-F-001 / UC-F-013 / UC-F-026 / UC-N-001 KPIs,[INTERNAL],
UC-N-018,PARTIAL,MEDIUM,Q-D.04,Fortanix CCM TEE attestation assurance potentially available but XYZ adoption not confirmed,Pilot TEE attestation assurance for high-sensitivity workloads with quarterly attestation report,[INTERNAL],
UC-N-019,GAP,MEDIUM,Q-J.01;Q-K,AI agent / MCP NHI governance not addressed; ZT workload identity widely cited but poorly understood operationally,Demystify ZT workload identity + adopt AI-agent NHI governance (Oasis/Aembit/Clutch),[INTERNAL],
UC-N-020,PENDING,LOW,Q-A.04;Q-B.03,Board reporting cadence for secrets-management posture not addressed,Define quarterly board reporting covering NHI inventory + E8 maturity + incident metrics,[INTERNAL],apra-cps-234-2019
