framework_slug,framework_role,control_code,control_short_title,uc_ids,nhi_ids,maturity_level,evidence_url,evidence_quote,citation_keys,quote_type
essential-8,PRIMARY-LENS,E8-AC-ML1,Application control — executable allow-listing,UC-F-001;UC-F-008;UC-F-009;UC-F-010;UC-F-016,NHI-002;NHI-003;NHI-004;NHI-008;NHI-015;NHI-016,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-AC-ML2,Application control — Microsoft blocklist + central logging,UC-F-016;UC-N-012;UC-N-001;UC-N-011,NHI-015;NHI-016;NHI-020,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Microsoft's recommended application blocklist is implemented.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-AC-ML3,Application control — signed-artifact admission + driver blocklist,UC-F-008;UC-F-016;UC-N-012,NHI-015;NHI-016;NHI-018;NHI-020;NHI-034,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Microsoft's vulnerable driver blocklist is implemented.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-PA-ML1,Patch applications — internet-facing patching (two weeks / 48 hours),UC-N-001;UC-N-004;UC-N-011,NHI-035;NHI-010;NHI-013;NHI-024;NHI-025,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-PA-ML2,Patch applications — critical-vulnerability 48h SLA for vault platform,UC-N-001;UC-N-004;UC-N-011;UC-F-026,NHI-035;NHI-024;NHI-025;NHI-013;NHI-010,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-POS-ML1,Patch operating systems — vault/HSM/CA OS hygiene,UC-N-004;UC-N-011;UC-F-026,NHI-024;NHI-025;NHI-035;NHI-021;NHI-032;NHI-022;NHI-033,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-POS-ML2,Patch operating systems — critical 48h on internet-facing components,UC-N-004;UC-N-011;UC-F-026,NHI-024;NHI-025;NHI-035;NHI-013;NHI-032,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-POS-FIRMWARE,Patch operating systems — HSM/appliance firmware,UC-N-004;UC-N-010;UC-N-013;UC-F-026,NHI-024;NHI-025;NHI-035;NHI-023;NHI-021,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-UAH,User application hardening,UC-F-001;UC-F-002;UC-N-008,NHI-008,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Web browsers do not process Java from the internet.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-MAC,Restrict Microsoft Office macros,MISSING-UC,MISSING-NHI,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Microsoft Office macros are blocked from making Win32 API calls.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-RB-ML1,Regular backups — frequency + retention,UC-F-021;UC-N-001;UC-N-003;UC-N-004,NHI-026;NHI-023;NHI-035;NHI-024,ML1,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-RB-ML2,Regular backups — backup-administrator separation,UC-F-021;UC-N-003;UC-N-009;UC-N-010,NHI-026;NHI-012;NHI-024;NHI-029;NHI-035,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Unprivileged user accounts cannot access backups belonging to other user accounts.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-RB-ML3,Regular backups — immutability + break-glass-only modification,UC-F-021;UC-N-004;UC-N-010,NHI-026;NHI-024;NHI-035;NHI-023,ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Backup administrator accounts are prevented from modifying and deleting backups during their retention period.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-RB-KEYS,Regular backups — HSM/KMS key backup custody,UC-N-004;UC-N-007;UC-N-010;UC-N-013,NHI-023;NHI-024;NHI-025;NHI-035,ML2,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Backups of data, applications and settings are synchronised to enable restoration to a common point in time.",acsc-e8-2023,verbatim
essential-8,PRIMARY-LENS,E8-MATURITY-SCORECARD,Outcome scorecard — programme maturity reporting,UC-N-005;UC-N-001;UC-N-003;UC-N-009;UC-N-011;UC-N-014;UC-N-015;UC-N-020,NHI-001;NHI-006;NHI-012;NHI-019;NHI-022;NHI-026;NHI-034;NHI-035;NHI-037,ML1;ML2;ML3,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"With the exception of Maturity Level Zero, the maturity levels are based on mitigating increasing levels of tradecraft (i.e. tools, tactics, techniques and procedures) and targeting, which are discussed in more detail below.",acsc-e8-2023;acsc-e8-mm-nov2023,verbatim
essential-8,PRIMARY-LENS,E8-RAP-NHI-GAP,Restrict admin privileges — NHI-specific gap (no E8 dedicated NHI control),MISSING-UC,NHI-002;NHI-016;NHI-031;NHI-033;NHI-034,N/A,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,"Essential Eight controls focus on user accounts and do not enumerate machine identities; gap acknowledged by ASD ISM mapping document.",acsc-e8-ism-mapping-2023,analyst-note
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Identity,Subject identification and per-request authorisation for NHIs,UC-F-003;UC-F-004;UC-F-006;UC-F-007;UC-F-013;UC-F-015;UC-F-020;UC-F-024;UC-F-025;UC-F-027;UC-N-002;UC-N-003,NHI-001;NHI-002;NHI-003;NHI-005;NHI-006;NHI-007;NHI-012;NHI-019;NHI-027;NHI-028;NHI-029;NHI-035;NHI-036;NHI-037,Pillar-Identity,https://csrc.nist.gov/publications/detail/sp/800-207/final,"All resource authentication and authorization are dynamic and strictly enforced before access is allowed.",nist-sp-800-207-2020;nist-sp-800-63-4-2024,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Identity-Federation,Federated OIDC/SVID identity for CI/CD and partner clients,UC-F-003;UC-F-004;UC-F-018;UC-F-024,NHI-003;NHI-006;NHI-019;NHI-027;NHI-028;NHI-036,Pillar-Identity,https://csrc.nist.gov/publications/detail/sp/800-207/final,"Many enterprises will deploy ZTA components that require federation between identity providers.",nist-sp-800-207-2020;nist-sp-800-207a-2023,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Workload-mTLS,Workload-to-workload attested mTLS via service mesh,UC-F-004;UC-F-008;UC-F-009;UC-F-012;UC-F-014,NHI-002;NHI-004;NHI-006;NHI-011;NHI-013;NHI-017;NHI-036,Pillar-Workload,https://csrc.nist.gov/publications/detail/sp/800-204D/final,"Service mesh and similar overlays can enforce per-request authorization and mutual authentication between microservices.",nist-sp-800-204d-2024;nist-sp-800-207a-2023,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Workload-CICD,CI/CD pipeline integrity and ephemeral credentials,UC-F-003;UC-F-010;UC-F-016;UC-N-012,NHI-003;NHI-009;NHI-015;NHI-016;NHI-020,Pillar-Workload,https://csrc.nist.gov/publications/detail/sp/800-204D/final,"Pipelines should treat all secrets and signing keys as short-lived and brokered through a centrally managed service.",nist-sp-800-204d-2024,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Workload-Runtime,Runtime attestation gates secret release,UC-F-004;UC-F-017;UC-F-018;UC-N-018;UC-F-028;UC-F-030,NHI-002;NHI-006;NHI-018;NHI-019;NHI-036,Pillar-Workload,https://csrc.nist.gov/publications/detail/sp/800-207/final,"The enterprise monitors and measures the integrity and security posture of all owned and associated assets.",nist-sp-800-207-2020;nist-sp-1800-35-2025,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Device,Device health and hardware-rooted identity gating secret release,UC-F-019;UC-F-023;UC-N-016,NHI-021;NHI-032;NHI-033,Pillar-Device,https://csrc.nist.gov/publications/detail/sp/800-207/final,"No resource is inherently trusted; the enterprise evaluates the security posture of the asset.",nist-sp-800-207-2020;cisa-ztmm-v2-2023,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Network,Broker placement and micro-segmentation around secrets infrastructure,UC-F-012;UC-F-014;UC-F-022;UC-F-024,NHI-006;NHI-011;NHI-013;NHI-028;NHI-031;NHI-032,Pillar-Network,https://csrc.nist.gov/publications/detail/sp/800-207/final,"All communication is secured regardless of network location.",nist-sp-800-207-2020;nist-sp-800-207a-2023,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Data,Data keys (TDE / TEE-bound) governed as NHIs with custodian quorum,UC-F-005;UC-F-008;UC-F-016;UC-F-017;UC-N-007;UC-N-012;UC-N-013;UC-N-018,NHI-018;NHI-023;NHI-024;NHI-025;NHI-034;NHI-035,Pillar-Data,https://csrc.nist.gov/publications/detail/sp/800-207/final,"All data sources and computing services are considered resources.",nist-sp-800-207-2020;nist-sp-1800-38-2024,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Visibility-Analytics,Tamper-evident logging of secret-access events with per-NHI baselining,UC-N-001;UC-N-002;UC-N-011;UC-N-017;UC-N-019;UC-N-020,NHI-001;NHI-007;NHI-008;NHI-010;NHI-013;NHI-019;NHI-026;NHI-030;NHI-031;NHI-035;NHI-037,Pillar-Visibility-Analytics,https://csrc.nist.gov/publications/detail/sp/800-207/final,"The enterprise collects information about asset security posture, network traffic and access requests to improve its security posture.",nist-sp-800-207-2020;nist-sp-1800-35-2025,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Visibility-NHIDR,NHI Detection and Response for anomalous credential use,UC-F-007;UC-N-011;UC-N-019,NHI-007;NHI-019;NHI-026;NHI-030;NHI-037,Pillar-Visibility-Analytics,https://csrc.nist.gov/pubs/sp/1800/35/final,"Continuous, dynamic monitoring of assets detects compromise and informs policy.",nist-sp-1800-35-2025;csa-nhi-taxonomy-2024,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Automation-Orchestration,"Rotation, revocation, and lifecycle orchestration without human transcription",UC-F-006;UC-F-007;UC-F-011;UC-F-020;UC-F-021;UC-F-027,NHI-005;NHI-007;NHI-010;NHI-011;NHI-012;NHI-014;NHI-022;NHI-026;NHI-029;NHI-031;NHI-037,Pillar-Automation-Orchestration,https://csrc.nist.gov/pubs/sp/1800/35/final,"Automation and orchestration allow the enterprise to maintain a consistent security posture as the environment changes.",nist-sp-1800-35-2025,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Governance,"Policy-as-code, exception register, and supply-chain attestation for NHIs",UC-N-004;UC-N-005;UC-N-006;UC-N-007;UC-N-009;UC-N-010;UC-N-014;UC-N-015,NHI-007;NHI-024;NHI-025;NHI-026;NHI-028;NHI-030;NHI-035;NHI-037,Pillar-Governance,https://csrc.nist.gov/publications/detail/sp/800-207/final,"The policy engine ultimately decides; access decisions are logged for analysis.",nist-sp-800-207-2020;nist-sp-1800-35-2025;cisa-ztmm-v2-2023,verbatim
cisa-ztmm-v2,PRIMARY-LENS,ZT-Pillar-Governance-PQC,Crypto-agility and PQC readiness reporting to executive forums,UC-F-016;UC-N-013,NHI-006;NHI-015;NHI-023;NHI-024;NHI-025;NHI-028;NHI-034,Pillar-Governance,https://csrc.nist.gov/publications/detail/sp/1800-38/draft,"Organizations should plan a transition to post-quantum cryptography that maintains crypto-agility.",nist-sp-1800-38-2024;nist-pqc-fips-203-204-205-2024,verbatim
apra-cps-234,BACK-MAP,CPS234-§13,Board accountability for information security,UC-N-004;UC-N-005;UC-N-011;UC-N-015,NHI-001;NHI-019;NHI-024;NHI-026;NHI-035,Paragraph-13,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"The Board ... is ultimately responsible for the information security of the entity.",apra-cps-234-2019,verbatim-elided
apra-cps-234,BACK-MAP,CPS234-§14,Clearly defined information-security roles,UC-N-002;UC-N-004;UC-N-009;UC-N-014;UC-N-015,NHI-024;NHI-025;NHI-035;NHI-037,Paragraph-14,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Must clearly define the information security-related roles and responsibilities of the Board, senior management, governing bodies and individuals.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§15,Information-security capability commensurate with threats,UC-F-004;UC-F-005;UC-F-006;UC-F-007;UC-F-026;UC-N-002;UC-N-003;UC-N-005,NHI-001;NHI-002;NHI-005;NHI-006;NHI-008;NHI-012;NHI-019;NHI-022;NHI-035;NHI-037,Paragraph-15,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Maintain an information security capability commensurate with the size and extent of threats to its information assets.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§16,Assess third-party information-security capability,UC-N-006;UC-N-007;UC-F-024;UC-F-025,NHI-007;NHI-026;NHI-028;NHI-030;NHI-035,Paragraph-16,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"The APRA-regulated entity must assess the information security capability of that party.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§17,Active capability maintenance through change,UC-F-006;UC-F-027;UC-N-001;UC-N-003;UC-N-008;UC-N-013,NHI-019;NHI-034;NHI-037,Paragraph-17,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Actively maintain its information security capability with respect to changes in vulnerabilities and threats.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§18,Information-security policy framework,UC-N-005;UC-N-008;UC-N-009;UC-N-015,NHI-008;NHI-019;NHI-029,Paragraph-18,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Must maintain an information security policy framework commensurate with its exposures to vulnerabilities and threats.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§19,Policy framework — direction on responsibilities,UC-N-008;UC-N-015,NHI-029;NHI-030,Paragraph-19,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Must provide direction on the responsibilities of all parties who have an obligation to maintain information security.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§20,Asset classification by criticality and sensitivity,UC-F-005;UC-N-002;UC-N-007;UC-N-020,NHI-005;NHI-008;NHI-022;NHI-023;NHI-026,Paragraph-20,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Classify its information assets ... by criticality and sensitivity.",apra-cps-234-2019,verbatim-elided
apra-cps-234,BACK-MAP,CPS234-§21,Implementation of information-security controls (umbrella),UC-F-001;UC-F-003;UC-F-004;UC-F-005;UC-F-006;UC-F-008;UC-F-009;UC-F-010;UC-F-012;UC-F-016;UC-F-018;UC-F-019;UC-F-020;UC-F-021;UC-F-022;UC-F-024;UC-F-028;UC-F-029;UC-F-030,NHI-001;NHI-002;NHI-005;NHI-006;NHI-007;NHI-008;NHI-011;NHI-015;NHI-017;NHI-018;NHI-022;NHI-023;NHI-024;NHI-026;NHI-028;NHI-031;NHI-019,Paragraph-21,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Information security controls to protect its information assets ... implemented in a timely manner.",apra-cps-234-2019,verbatim-elided
apra-cps-234,BACK-MAP,CPS234-§21(a),Controls commensurate with vulnerabilities and threats,UC-F-001;UC-F-002;UC-F-007;UC-F-022;UC-N-011,NHI-007;NHI-008;NHI-026;NHI-037,Paragraph-21a,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Commensurate with: (a) vulnerabilities and threats to the information assets.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§21(b),Controls commensurate with criticality and sensitivity,UC-F-005;UC-F-017;UC-F-021;UC-N-007;UC-N-018,NHI-018;NHI-022;NHI-023;NHI-026,Paragraph-21b,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Commensurate with: (b) the criticality and sensitivity of the information assets.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§21(c),Controls commensurate with life-cycle stage,UC-F-006;UC-F-013;UC-F-016;UC-F-019;UC-F-027;UC-N-003,NHI-015;NHI-016;NHI-021;NHI-029;NHI-034;NHI-037,Paragraph-21c,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Commensurate with: (c) the stage at which the information assets are within their life-cycle.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§21(d),Controls commensurate with incident consequences,UC-F-007;UC-F-021;UC-F-026;UC-N-010;UC-N-011,NHI-019;NHI-024;NHI-026;NHI-035,Paragraph-21d,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Commensurate with: (d) the potential consequences of an information security incident.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§22,Evaluate design of third-party controls,UC-N-006;UC-N-007;UC-N-014;UC-F-024;UC-F-025,NHI-007;NHI-026;NHI-028;NHI-030;NHI-035,Paragraph-22,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Evaluate the design of that party's information security controls that protects the information assets of the APRA-regulated entity.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§23,Detect and respond mechanisms,UC-F-001;UC-F-002;UC-F-007;UC-N-001;UC-N-011;UC-N-017;UC-N-019,NHI-007;NHI-008;NHI-010;NHI-019;NHI-030;NHI-037,Paragraph-23,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Robust mechanisms in place to detect and respond to information security incidents in a timely manner.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§24,Incident response plans for plausible incidents,UC-F-007;UC-N-010;UC-N-011,NHI-024;NHI-035;NHI-037,Paragraph-24,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Must maintain plans to respond to information security incidents that the entity considers could plausibly occur.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§26,Annual review and test of response plans,UC-N-010;UC-N-011;UC-F-007,NHI-024;NHI-025;NHI-035,Paragraph-26,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Annually review and test its information security response plans to ensure they remain effective and fit-for-purpose.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§27,Systematic testing of control effectiveness,UC-N-003;UC-N-005;UC-N-010;UC-F-006;UC-F-021;UC-F-026,NHI-001;NHI-006;NHI-012;NHI-022;NHI-024;NHI-026;NHI-035,Paragraph-27,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Test the effectiveness of its information security controls through a systematic testing program.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§27(d),Testing commensurate with untrusted-environment exposure,UC-F-018;UC-F-019;UC-F-024;UC-N-007;UC-N-016,NHI-019;NHI-021;NHI-028;NHI-033,Paragraph-27d,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Risks associated with exposure to environments where the APRA-regulated entity is unable to enforce its information security policies.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§28,Assess sufficiency of third-party control testing,UC-N-006;UC-N-007;UC-N-014,NHI-007;NHI-028;NHI-030;NHI-035,Paragraph-28,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Assess whether the nature and frequency of testing of controls ... is commensurate with paragraphs 27(a) to 27(e).",apra-cps-234-2019,verbatim-elided
apra-cps-234,BACK-MAP,CPS234-§30,Independent specialist testers,UC-N-009;UC-N-010;UC-N-014,NHI-024;NHI-025;NHI-035,Paragraph-30,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Testing is conducted by appropriately skilled and functionally independent specialists.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§32,Internal audit review of control effectiveness,UC-N-004;UC-N-009;UC-N-014;UC-N-020,NHI-022;NHI-026;NHI-035,Paragraph-32,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Internal audit activities must include a review of the design and operating effectiveness of information security controls.",apra-cps-234-2019,verbatim
apra-cps-234,BACK-MAP,CPS234-§34,Internal audit assessment of third-party assurance,UC-N-006;UC-N-007;UC-N-014,NHI-007;NHI-028;NHI-030;NHI-035,Paragraph-34,https://www.apra.gov.au/sites/default/files/cps_234_july_2019_for_public_release.pdf,"Internal audit function must assess the information security control assurance provided by a related party or third party.",apra-cps-234-2019,verbatim
